department;team;targeted_productivity;smv;over_time;incentive;idle_time;idle_men;no_of_style_change;no_of_workers;actual_productivity
sweing;9;0.6;29.12;6660;23;0;0;0;58;0.600125217
finishing ;2;0.75;3.94;1440;0;0;0;0;8;0.578314394
finishing ;1;0.7;3.94;1440;0;0;0;0;8;0.578314394
sweing;8;0.35;15.09;9360;23;0;0;0;52;0.34998951
finishing ;9;0.6;3.94;1440;0;0;0;0;8;0.261174242
finishing ;5;0.7;4.15;3060;0;0;0;0;17;0.973796791
finishing ;2;0.75;3.94;1440;0;0;0;0;8;0.970075758
finishing ;1;0.7;3.94;1440;0;0;0;0;8;0.970075758
finishing ;3;0.75;3.94;1620;0;0;0;0;9;0.961784512
finishing ;10;0.75;3.94;3420;0;0;0;0;19;0.955151515
finishing ;4;0.75;4.3;2160;0;0;0;0;12;0.952020202
sweing;4;0.75;22.52;10260;94;0;0;0;57;0.900321106
sweing;2;0.75;22.94;10530;81;0;0;0;58.5;0.850223776
sweing;1;0.7;22.94;10530;75;0;0;0;58.5;0.800909609
sweing;3;0.75;22.52;10350;55;0;0;0;57.5;0.800513307
sweing;6;0.8;11.61;5760;63;0;0;0;32;0.800386364
sweing;10;0.75;22.52;10080;69;0;0;0;56;0.800020563
finishing ;7;0.65;3.94;2520;0;0;0;0;14;0.749188312
sweing;7;0.7;22.52;10170;40;0;0;0;56.5;0.7005417
sweing;12;0.7;15.26;6120;40;0;0;0;34;0.70043672
sweing;5;0.7;20.4;10440;50;0;0;0;58;0.700250784
sweing;9;0.65;29.12;10440;26;0;0;0;58;0.650407524
finishing ;12;0.7;4.08;1620;0;0;0;0;9;0.618181818
sweing;11;0.75;42.97;10260;40;0;0;0;57;0.59114168
sweing;8;0.5;15.09;720;23;0;0;0;52;0.500061916
finishing ;8;0.8;2.9;720;0;0;0;0;4;0.329545455
finishing ;3;0.75;3.94;1800;0;0;0;0;10;1.059621212
finishing ;10;0.75;3.94;3780;0;0;0;0;21;0.997792208
finishing ;4;0.75;4.3;2160;0;0;0;0;12;0.963699495
finishing ;5;0.7;4.15;2700;0;0;0;0;15;0.959191919
finishing ;2;0.75;3.94;1800;0;0;0;0;10;0.910378788
finishing ;1;0.7;3.94;1800;0;0;0;0;10;0.910378788
sweing;4;0.8;22.52;10170;60;0;0;0;56.5;0.850312684
sweing;6;0.8;11.61;5760;50;0;0;0;32;0.800386364
sweing;3;0.75;22.52;10260;69;0;0;0;57;0.80035194
sweing;2;0.75;22.94;10260;55;0;0;0;57;0.800034024
sweing;1;0.7;22.94;10440;60;0;0;0;58;0.800023511
sweing;10;0.75;22.52;10080;55;0;0;0;56;0.800020563
finishing ;12;0.7;4.08;1620;0;0;0;0;9;0.769292929
sweing;5;0.75;20.4;10320;56;0;0;0;58;0.750031447
sweing;9;0.7;29.12;10440;40;0;0;0;58;0.70061442
sweing;12;0.7;15.26;6120;40;0;0;0;34;0.70043672
finishing ;7;0.65;3.94;1440;0;0;0;0;8;0.646306818
sweing;8;0.6;15.09;360;23;0;0;0;52;0.600143365
sweing;11;0.35;28.08;10260;23;0;0;0;57;0.350066986
sweing;2;0.75;22.52;6840;119;0;0;0;57;1.000230409
sweing;3;0.75;22.52;6840;119;0;0;0;57;1.000230409
finishing ;10;0.8;3.94;1440;0;0;0;0;12;0.979527778
finishing ;4;0.8;4.3;1440;0;0;0;0;12;0.940625
finishing ;5;0.5;4.15;1440;0;0;0;0;12;0.926388889
sweing;10;0.8;22.52;6720;70;0;0;0;56;0.900129762
finishing ;3;0.75;3.94;1440;0;0;0;0;12;0.861875
sweing;4;0.8;22.52;6780;60;0;0;0;56.5;0.850312684
finishing ;8;0.65;3.94;960;0;0;0;0;8;0.845458333
finishing ;12;0.7;4.15;1080;0;0;0;0;9;0.823555556
finishing ;7;0.5;4.15;960;0;0;0;0;8;0.803541667
sweing;1;0.75;22.94;6960;55;0;0;0;58;0.800263218
finishing ;2;0.75;3.94;1200;0;0;0;0;10;788
finishing ;1;0.75;3.94;1200;0;0;0;0;10;0.77815
sweing;9;0.7;29.12;6960;50;0;0;0;58;0.700386207
sweing;12;0.7;15.26;4080;40;0;0;0;34;0.700164706
sweing;8;0.65;15.09;240;23;0;0;0;52;0.650307143
sweing;6;0.8;30.4;3840;34;0;0;0;32;0.622828125
finishing ;6;0.8;2.9;960;0;0;0;0;8;0.6225
sweing;5;0.5;20.79;6960;30;0;0;0;58;0.500035345
sweing;11;0.5;48.18;6480;23;0;0;0;54;0.37046657
sweing;2;0.8;22.52;6840;90;0;0;0;57;1.000230409
sweing;3;0.8;22.52;6840;113;0;0;0;57;1.000230409
finishing ;6;0.35;2.9;1800;0;0;0;0;15;0.977555556
finishing ;1;0.75;3.94;1200;0;0;0;0;10;0.9456
finishing ;2;0.8;3.94;1800;0;0;0;0;15;0.902222222
sweing;10;0.8;22.52;6720;60;0;0;0;56;0.850532143
sweing;1;0.75;22.94;6960;81;0;0;0;58;0.850362069
finishing ;10;0.8;3.94;1200;0;0;0;0;10;0.840533333
sweing;5;0.6;20.79;6960;88;0;0;0;58;0.800534483
sweing;4;0.8;22.52;6780;50;0;0;0;56.5;0.800489676
finishing ;12;0.75;4.08;1080;0;0;0;0;9;0.755555556
sweing;9;0.7;29.12;6960;63;0;0;0;58;0.750593103
sweing;12;0.75;15.26;3600;45;0;0;0;35;0.750283333
finishing ;4;0.8;4.3;1440;0;0;0;0;12;0.722638889
finishing ;8;0.65;4.15;960;0;0;0;0;8;0.553333333
sweing;11;0.5;20.1;5880;46;0;0;0;54;0.500567308
sweing;8;0.7;38.09;6240;0;0;0;0;52;0.467693269
sweing;6;0.35;18.79;1800;23;0;0;0;32;0.437995338
finishing ;7;0.6;3.94;960;0;0;0;0;8;0.406354167
sweing;7;0.6;23.54;6600;0;0;0;0;55;0.285333333
finishing ;11;0.5;2.9;960;0;0;0;0;8;0.259375
sweing;2;0.8;22.52;6840;113;0;0;0;57;1.000230409
finishing ;4;0.8;4.3;1200;0;0;0;0;10;989
sweing;3;0.8;22.52;6840;100;0;0;0;57;0.950185965
sweing;4;0.8;22.52;6900;88;0;0;0;57.5;0.9008
sweing;10;0.8;22.52;6720;88;0;0;0;56;0.900129762
finishing ;6;0.5;2.9;1200;0;0;0;0;10;899
finishing ;8;0.65;4.15;960;0;0;0;0;8;0.877552083
finishing ;11;0.6;2.9;960;0;0;0;0;8;0.864583333
finishing ;10;0.8;3.94;1200;0;0;0;0;10;0.85695
finishing ;1;0.75;3.94;1200;0;0;0;0;10;0.853666667
sweing;1;0.75;22.94;6960;81;0;0;0;58;0.850362069
sweing;9;0.7;29.12;6960;53;0;0;0;58;0.850170115
sweing;5;0.65;20.79;7080;81;0;0;0;59;0.800473729
finishing ;2;0.8;3.94;1200;0;0;0;0;10;0.773333333
sweing;12;0.75;15.26;4200;45;0;0;0;35;0.750646667
finishing ;12;0.75;4.08;1080;0;0;0;0;9;0.634666667
sweing;11;0.6;20.1;4320;46;0;0;0;51;0.60059761
sweing;6;0.5;18.79;3960;23;0;0;0;33;0.500117677
finishing ;3;0.8;3.94;960;0;0;0;0;8;0.4925
sweing;7;0.65;23.54;6600;0;0;0;0;55;0.48792
sweing;3;0.8;22.52;6960;113;0;0;0;58;1.000457471
sweing;2;0.8;22.52;6840;113;0;0;0;57;1.000230409
finishing ;2;0.8;3.94;1200;0;0;0;0;10;0.971866667
finishing ;3;0.8;3.94;960;0;0;0;0;8;0.971866667
finishing ;4;0.8;3.94;1200;0;0;0;0;10;0.971866667
finishing ;10;0.8;3.94;1200;0;0;0;0;10;0.971866667
finishing ;1;0.75;3.94;1800;0;0;0;0;15;0.971866667
finishing ;9;0.75;3.94;240;0;0;0;0;2;0.971866667
finishing ;12;0.75;4.08;1080;0;0;0;0;9;0.971866667
finishing ;5;0.7;3.94;240;0;0;0;0;2;0.971866667
finishing ;7;0.7;3.94;1200;0;0;0;0;10;0.971866667
finishing ;8;0.65;3.94;960;0;0;0;0;8;0.971866667
finishing ;11;0.65;3.94;600;0;0;0;0;5;0.971866667
finishing ;6;0.6;3.94;1200;0;0;0;0;10;0.971866667
sweing;10;0.8;22.52;6720;93;0;0;0;56;0.920236905
sweing;4;0.8;22.52;6660;88;0;0;0;57.5;0.900537069
sweing;9;0.75;29.12;6840;81;0;0;0;57;0.850610526
sweing;1;0.75;22.94;6960;81;0;0;0;58;0.850362069
sweing;12;0.75;15.26;4200;45;0;0;0;35;0.750646667
sweing;5;0.7;50.89;5880;56;0;0;0;59;0.656763743
sweing;11;0.65;20.1;6480;49;0;0;0;54;0.650148148
sweing;6;0.6;18.79;3960;23;0;0;0;33;0.600710606
sweing;7;0.7;23.54;6720;0;0;0;0;56;0.388830357
sweing;8;0.5;23.54;6480;0;0;0;0;54;0.286984568
finishing ;8;0.65;4.15;960;0;0;0;0;8;1.0115625
sweing;2;0.8;22.52;6900;113;0;0;0;57.5;1.000671304
sweing;1;0.8;22.94;3060;113;0;0;0;58.5;1.000402055
finishing ;1;0.75;3.94;2280;0;0;0;0;19;0.950438596
sweing;3;0.8;22.52;6840;100;0;0;0;57;0.950185965
finishing ;2;0.8;3.94;1200;0;0;0;0;10;0.912766667
finishing ;7;0.7;3.94;2160;0;0;0;0;18;0.892194444
finishing ;10;0.8;3.94;1200;0;0;0;0;10;0.8865
sweing;10;0.8;22.52;6720;75;0;0;0;56;0.850532143
sweing;4;0.8;22.52;7020;60;0;0;0;58.5;0.85011396
finishing ;4;0.8;4.3;1440;0;0;0;0;12;0.845069444
sweing;9;0.75;29.12;6960;45;0;0;0;58;0.750593103
sweing;12;0.75;15.26;1440;45;0;0;0;35;0.750450658
finishing ;12;0.75;4.08;1080;0;0;0;0;9;0.702666667
sweing;11;0.7;20.1;6120;75;0;0;0;54;0.700508929
sweing;6;0.65;18.79;3960;26;0;0;0;33;0.651007071
sweing;8;0.6;24.26;6600;0;0;0;0;55;0.466821212
sweing;7;0.7;24.26;6720;0;0;0;0;56;0.411553571
finishing ;6;0.6;2.9;1200;0;0;0;0;10;0.314166667
sweing;1;0.8;22.94;7020;113;0;0;0;58.5;1.000602279
finishing ;9;0.75;3.94;960;0;0;0;0;8;0.994270833
sweing;2;0.8;22.52;7020;88;0;0;0;58.5;0.900158405
sweing;3;0.8;22.52;6840;70;0;0;0;57;0.90014152
sweing;10;0.8;22.52;6720;88;0;0;0;56;0.900129762
finishing ;10;0.8;3.94;1200;0;0;0;0;10;0.85695
finishing ;4;0.8;4.3;1440;0;0;0;0;12;0.809236111
sweing;12;0.8;15.26;3600;63;0;0;0;35;0.800401961
sweing;4;0.8;22.52;5940;50;0;0;0;56.5;0.800393224
sweing;9;0.75;29.12;6960;55;0;0;0;58;0.799963218
finishing ;12;0.75;4.08;1080;0;0;0;0;9;0.740444444
sweing;11;0.7;20.55;6480;60;0;0;0;54;0.700398148
sweing;6;0.7;18.79;3960;30;0;0;0;33;0.700354545
finishing ;8;0.65;4.15;960;0;0;0;0;8;0.561979167
finishing ;1;0.75;3.94;2280;0;0;0;0;19;0.504596491
sweing;5;0.5;30.1;6960;0;0;0;0;58;0.500801724
sweing;7;0.7;24.26;6720;0;0;0;0;56;0.295307738
finishing ;6;0.6;2.9;1200;0;0;0;0;10;0.280333333
sweing;8;0.65;24.26;6600;0;0;0;0;55;0.260978788
finishing ;2;0.8;3.94;2400;0;0;0;0;20;1.001416667
sweing;1;0.8;22.52;6900;113;0;0;0;57.5;1.000018551
sweing;10;0.8;22.52;6720;90;0;0;0;56;0.999995238
finishing ;1;0.8;3.94;1200;0;0;0;0;10;0.99485
finishing ;8;0.7;4.15;960;0;0;0;0;8;0.976979167
sweing;3;0.8;22.52;6840;100;0;0;0;57;0.950185965
sweing;2;0.8;22.52;6960;100;0;0;0;58;0.949981609
finishing ;9;0.75;3.94;1320;0;0;0;0;11;0.919954545
sweing;4;0.8;22.52;5460;63;0;0;0;56.5;0.800434622
sweing;12;0.8;15.26;2040;50;0;0;0;35;0.800259023
finishing ;12;0.8;4.08;1080;0;0;0;0;9;0.778222222
sweing;9;0.75;29.12;6960;34;0;0;0;58;0.750593103
sweing;11;0.7;25.31;5760;60;0;0;0;54;0.700513566
sweing;6;0.7;18.79;4020;30;0;0;0;33.5;0.700184577
sweing;8;0.7;24.26;6660;0;0;0;0;55.5;0.586465465
sweing;7;0.7;24.26;6720;0;0;0;0;56;0.541517857
finishing ;4;0.8;4.3;1440;0;0;0;0;12;0.5375
finishing ;6;0.7;2.9;960;0;0;0;0;8;0.495416667
sweing;5;0.6;30.1;6960;0;0;0;0;58;0.415172414
sweing;2;0.8;22.52;6900;100;0;0;0;57.5;1.05028058
sweing;3;0.8;22.52;6840;113;0;0;0;57;1.000230409
sweing;10;0.8;22.52;6720;113;0;0;0;56;0.999995238
finishing;2;0.8;3.94;2160;0;0;0;0;18;0.966759259
finishing;1;0.8;3.94;1200;0;0;0;0;10;0.929183333
finishing;8;0.7;4.15;3000;0;0;0;0;25;0.915766667
sweing;1;0.8;22.52;6900;88;0;0;0;57.5;0.900147246
sweing;12;0.8;15.26;4080;38;0;0;0;34;0.800401961
sweing;9;0.8;22.52;6960;50;0;0;0;58;0.799963218
finishing;7;0.7;3.94;960;0;0;0;0;8;0.779791667
finishing;9;0.75;3.94;960;0;0;0;0;8;0.755166667
sweing;6;0.7;18.79;3360;30;0;0;0;33;0.700710417
sweing;7;0.7;24.26;6960;0;0;0;0;58;0.700612069
sweing;11;0.7;10.05;6120;60;0;0;0;53;0.700278846
sweing;8;0.7;29.12;6840;0;0;0;0;57;0.700135088
finishing ;12;0.8;4.08;1080;0;0;0;0;9;0.687555556
sweing;5;0.65;30.1;5820;0;90;10;0;58.5;0.650834808
finishing;6;0.7;2.9;960;0;0;0;0;8;0.531666667
sweing;4;0.35;30.1;6060;23;150;15;0;55.5;0.350706422
sweing;2;0.8;22.52;6780;113;0;0;0;56.5;1.000446018
sweing;1;0.8;22.52;6900;113;0;0;0;57.5;1.000018551
sweing;10;0.8;22.52;6720;113;0;0;0;56;0.999995238
finishing;2;0.8;3.94;2640;0;0;0;0;22;0.999924242
sweing;3;0.8;22.52;6840;100;0;0;0;57;0.950185965
finishing;6;0.7;2.9;960;0;0;0;0;8;0.9425
finishing;12;0.8;4.08;1080;0;0;0;0;9;0.906666667
finishing;7;0.7;3.94;1200;0;0;0;0;10;0.8471
finishing;1;0.8;3.94;1440;0;0;0;0;12;0.845458333
sweing;12;0.8;15.26;720;38;0;0;0;34;0.800612676
sweing;9;0.8;29.12;6960;50;0;0;0;58;0.799963218
finishing;10;0.8;3.94;960;0;0;0;0;8;0.771583333
sweing;11;0.75;10.05;2520;34;0;0;0;26;0.7504
sweing;6;0.7;18.79;2760;30;0;0;0;33;0.700079032
sweing;5;0.7;30.1;6960;0;0;0;0;58;0.562212644
sweing;7;0.07;24.26;6960;0;0;0;0;58;0.522844828
sweing;4;0.5;30.1;6360;23;0;0;1;53;0.500720126
sweing;8;0.7;24.26;6840;0;0;0;0;57;0.496549708
finishing;2;0.8;3.94;3000;0;0;0;0;25;1.050666667
sweing;2;0.8;22.52;6900;113;0;0;0;58;1.000018551
sweing;3;0.8;22.52;6840;100;0;0;0;57;0.950185965
sweing;1;0.8;22.52;6780;88;0;0;0;57;0.900135693
sweing;10;0.8;22.52;6720;88;0;0;0;56;0.900129762
finishing;12;0.8;4.08;1080;0;0;0;0;9;0.899111111
finishing;1;0.8;3.94;1200;0;0;0;0;10;0.870083333
finishing;6;0.75;2.9;960;0;0;0;0;8;0.845833333
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;9;0.8;29.12;6960;50;0;0;0;58;0.799963218
finishing;9;0.8;3.94;960;0;0;0;0;8;0.771583333
sweing;6;0.75;18.79;1560;34;0;0;0;33;0.750520115
sweing;11;0.75;10.05;3240;45;0;0;0;27;0.750027778
finishing;7;0.7;3.94;1200;0;0;0;0;10;0.715766667
sweing;7;0.7;24.26;6960;0;270;45;0;58;0.662270115
sweing;4;0.6;30.1;6780;30;0;0;1;57;0.600224189
sweing;5;0.7;30.1;7500;0;0;0;0;59;0.545657673
finishing;4;0.8;4.3;960;0;0;0;0;8;0.447916667
sweing;8;0.7;24.26;6840;0;300;37;0;57;0.365318713
sweing;2;0.8;22.52;6900;113;0;0;0;57.5;1.000018551
finishing;7;0.7;4.15;1440;0;0;0;0;12;0.928680556
sweing;10;0.8;22.52;6720;88;0;0;0;56;0.9008
sweing;1;0.8;22.52;6780;88;0;0;0;56.5;0.900135693
sweing;3;0.8;22.52;6720;88;0;0;0;56;0.900129762
finishing;1;0.8;3.94;1200;0;0;0;0;10;0.893066667
finishing;12;0.8;4.08;1080;0;0;0;0;9;0.891555556
finishing;2;0.8;3.94;2160;0;0;0;0;18;0.875555556
finishing;8;0.7;4.15;1800;0;0;0;0;15;0.840888889
sweing;12;0.8;15.26;2880;63;0;0;0;34;0.800355208
sweing;9;0.8;29.12;6960;50;0;0;0;58;0.799963218
sweing;6;0.75;18.79;3960;34;0;0;0;33;0.75065101
sweing;11;0.75;10.05;3240;45;0;0;0;27;0.750027778
sweing;5;0.7;30.1;7020;0;0;0;0;58.5;0.700618234
finishing;6;0.75;2.9;960;0;0;0;0;8;0.610208333
finishing;9;0.8;3.94;960;0;0;0;0;8;0.607416667
sweing;4;0.65;30.1;6780;44;0;0;1;56.5;0.568259587
sweing;7;0.7;24.26;6960;0;0;0;0;58;0.355534483
sweing;8;0.7;24.26;6840;0;0;0;0;57;0.353259649
finishing;2;0.8;3.94;2160;0;0;0;0;18;1.057962963
finishing;1;0.8;3.94;1200;0;0;0;0;10;0.962016667
sweing;10;0.8;22.52;120;88;0;0;0;56;0.9008
sweing;1;0.8;22.52;3600;70;0;0;0;57;0.900509044
sweing;2;0.8;22.52;360;70;0;0;0;57;0.900477825
finishing;6;0.75;2.9;960;0;0;0;0;8;0.888125
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;3;0.8;22.52;5400;50;0;0;0;57;0.800161172
sweing;9;0.8;29.12;6960;50;0;0;0;58;0.799963218
sweing;4;0.7;30.1;3300;50;0;0;1;57;0.790003236
sweing;11;0.75;10.05;0;45;0;0;0;54;0.750648148
finishing;8;0.35;4.15;1800;0;0;0;0;15;0.707111111
sweing;5;0.7;30.1;7020;40;0;0;0;58;0.700618234
finishing;9;0.8;3.94;960;0;0;0;0;8;0.697708333
sweing;6;0.75;18.79;4080;0;0;0;0;34;0.612517157
sweing;7;0.35;30.1;6960;0;0;0;1;58;0.350301724
sweing;8;0.35;30.1;6960;0;0;0;1;58;0.350301724
finishing;12;0.8;4.08;1080;0;0;0;0;9;272
finishing;12;0.8;4.08;1080;0;0;0;0;9;1.004888889
finishing;2;0.8;3.94;2160;0;0;0;0;18;0.966759259
sweing;10;0.8;22.52;0;88;0;0;0;56;0.90063244
sweing;1;0.8;22.52;0;88;0;0;0;57;0.90047076
sweing;3;0.8;22.52;0;88;0;0;0;57;0.90047076
sweing;2;0.8;22.52;0;88;0;0;0;57;0.899984058
finishing;1;0.8;3.94;1440;0;0;0;0;12;0.853666667
sweing;9;0.8;29.12;2160;38;0;0;0;58;0.8008
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
finishing;4;0.7;4.15;1800;0;0;0;0;15;0.796755556
sweing;6;0.75;18.79;2400;0;0;0;0;34;0.750797009
sweing;11;0.8;10.05;3240;34;0;0;0;54;0.750648148
sweing;5;0.75;30.1;7020;45;0;0;0;58;0.750356125
finishing;8;0.35;4.15;960;0;0;0;0;8;0.703770833
sweing;4;0.7;30.1;7020;40;0;0;1;58;0.700618234
finishing;9;0.8;3.94;960;0;0;0;0;8;0.6895
finishing;6;0.75;2.9;960;0;0;0;0;8;0.628333333
sweing;7;0.5;30.1;6960;23;0;0;1;58;0.500801724
sweing;8;0.5;30.1;6960;30;0;0;1;58;0.393548851
finishing;4;0.7;4.15;1800;0;0;0;0;15;1.033155556
finishing;12;0.8;4.08;1080;0;0;0;0;9;1.02
sweing;2;0.8;22.52;0;90;0;0;0;57.5;1.000344928
sweing;1;0.8;22.52;0;113;0;0;0;57;1.000065789
finishing;8;0.35;4.15;1440;0;0;0;0;12;0.994375
finishing;2;0.8;3.94;2160;0;0;0;0;18;0.912037037
finishing;5;0.7;4.15;240;0;0;0;0;2;0.87
sweing;10;0.8;22.52;0;75;0;0;0;56;0.850364583
sweing;6;0.8;18.79;3480;38;0;0;0;34;0.800947475
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
sweing;9;0.8;29.12;3240;50;0;0;0;58;0.800144144
sweing;5;0.75;30.1;7380;56;0;0;0;59.5;0.750406233
sweing;8;0.6;30.1;4560;30;0;0;1;58;0.714410494
sweing;4;0.7;30.1;5940;40;0;0;1;59.5;0.700588406
finishing;1;0.8;3.94;1440;0;0;0;0;12;0.618361111
sweing;7;0.6;30.1;3360;23;0;0;1;58;0.600070513
finishing;9;0.8;3.94;960;0;0;0;0;8;0.54175
sweing;3;0.8;22.52;6840;0;0;0;1;57;0.536901754
sweing;11;0.35;11.41;3240;0;0;0;1;52;0.507903226
sweing;1;0.8;22.52;0;138;0;0;0;57;1.100483918
finishing;4;0.7;4.15;1800;0;0;0;0;15;1.096633333
sweing;2;0.8;22.52;0;113;0;0;0;57.5;1.000344928
finishing;12;0.8;4.08;1080;0;0;0;0;9;0.838666667
sweing;12;0.8;15.26;4080;50;0;0;0;34;0.800401961
finishing;8;0.35;4.15;1440;0;0;0;0;12;0.755486111
sweing;5;0.75;30.1;7080;56;0;0;0;59;0.750799435
sweing;6;0.8;18.79;3960;0;0;0;0;33;0.688017677
finishing;1;0.8;3.94;1440;0;0;0;0;12;0.664875
finishing;9;0.8;3.94;960;0;0;0;0;8;0.656666667
sweing;4;0.7;30.1;7080;0;0;0;1;59;0.637711864
finishing;2;0.8;3.94;2160;0;0;0;0;18;0.601944444
finishing;5;0.7;4.15;240;0;0;0;0;2;0.58
sweing;7;0.65;30.1;7080;0;0;0;1;59;0.535677966
sweing;11;0.5;11.41;2280;0;0;0;2;55;0.50012336
sweing;9;0.8;29.12;6960;0;0;0;0;58;0.497885057
sweing;8;0.65;30.1;7080;0;0;0;1;59;0.463403955
sweing;10;0.8;22.52;6000;0;0;0;0;50;0.441392
sweing;3;0.35;30.1;6960;0;0;0;1;58;0.350301724
sweing;1;0.8;22.52;6840;113;0;0;0;57;1.000230409
finishing;7;0.7;4.15;1800;0;0;0;0;15;0.929277778
finishing;4;0.75;4.15;2400;0;0;0;0;20;0.902916667
finishing;12;0.8;4.08;1080;0;0;0;0;9;0.800888889
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;2;0.8;22.52;3660;63;0;0;0;57;0.80037492
finishing;1;0.8;3.94;1440;0;0;0;0;12;0.796208333
sweing;4;0.75;30.1;7140;0;0;0;1;59;0.750392157
sweing;5;0.75;30.1;7140;56;0;0;0;59;0.750392157
finishing;8;0.7;4.15;960;0;0;0;0;8;0.725625
sweing;8;0.7;30.1;5160;0;0;0;1;60;0.700206125
sweing;7;0.7;30.1;7200;0;0;0;1;60;602
sweing;11;0.6;11.41;2280;23;0;0;2;55;0.600447507
sweing;6;0.8;18.79;4080;0;0;0;0;34;0.557252451
sweing;3;0.5;30.1;6960;30;0;0;1;58;0.500801724
finishing;6;0.8;2.9;960;0;0;0;0;8;0.483333333
finishing;9;0.8;3.94;960;0;0;0;0;8;0.238041667
finishing;1;0.8;3.94;960;0;0;0;0;8;1.1204375
finishing;2;0.8;3.94;960;0;0;0;0;8;1.108125
sweing;1;0.8;22.52;6840;113;0;0;0;57;1.000230409
finishing;12;0.8;4.08;1080;0;0;0;0;9;0.876444444
sweing;12;0.8;15.26;1440;50;0;0;0;34;0.800806306
finishing;5;0.75;4.15;240;0;0;0;0;2;0.760833333
sweing;5;0.8;30.1;7140;0;0;0;0;59.5;0.722568627
finishing;11;0.6;2.9;1200;0;0;0;0;10;0.715333333
sweing;7;0.7;30.1;7080;0;0;0;1;59;0.700632768
sweing;8;0.7;30.1;5880;40;2;10;1;59;0.700573099
sweing;6;0.75;18.79;4080;0;0;0;0;34;0.681598039
sweing;11;0.65;11.41;2640;23;0;0;2;53;0.650223718
finishing;8;0.7;4.15;960;0;0;0;0;8;0.605208333
finishing;6;0.8;2.9;960;0;0;0;0;8;0.604166667
sweing;4;0.75;30.1;7140;0;0;0;1;59.5;0.598627451
sweing;3;0.6;30.1;6960;30;0;0;1;58;0.475718391
sweing;2;0.8;22.52;6900;0;0;0;0;57.5;0.432122899
finishing;4;0.75;4.15;2400;0;0;0;0;20;0.287041667
sweing;9;0.5;18.79;5280;0;0;0;1;54;0.283054487
sweing;1;0.8;22.52;6840;113;0;0;0;57;1.000230409
finishing;9;0.8;3.94;1200;0;0;0;0;10;0.960433333
finishing;12;0.8;4.08;1080;0;0;0;0;9;0.891555556
finishing;3;0.5;4.15;960;0;0;0;0;8;0.864583333
sweing;3;0.65;30.1;600;63;0;0;1;58;0.802243319
sweing;5;0.8;30.1;0;0;0;0;0;59;0.800980392
sweing;12;0.8;15.26;3720;38;0;0;0;34;0.800312375
finishing;6;0.8;2.9;960;0;0;0;0;8;0.773333333
sweing;6;0.75;18.79;3960;0;0;0;0;33;0.75065101
sweing;4;0.75;30.1;7020;0;0;0;1;58;0.750356125
finishing;4;0.75;4.15;1800;0;0;0;0;15;0.722333333
sweing;7;0.7;30.1;600;30;0;0;1;59;0.700459889
finishing;5;0.75;4.15;1200;0;0;0;0;10;0.629416667
sweing;8;0.7;30.1;7080;27;2;10;2;59;0.621971751
sweing;11;0.7;11.41;2160;30;0;0;2;54;0.565972222
sweing;10;0.6;18.22;5280;0;0;0;1;44;0.35542803
sweing;9;0.6;18.79;5400;0;0;0;1;54;0.329964879
finishing;7;0.7;4.15;1800;0;0;0;0;15;258
sweing;1;0.8;22.52;6840;113;0;0;0;57;1.000230409
finishing;10;0.8;3.94;960;0;0;0;0;8;0.927541667
finishing;7;0.7;5.13;1200;0;0;0;0;10;0.91375
finishing;12;0.8;5.13;1080;0;0;0;0;9;0.9025
sweing;12;0.8;15.26;4080;38;0;0;0;34;0.800401961
finishing;3;0.5;5.13;1800;0;0;0;0;15;0.7866
sweing;6;0.75;18.79;3360;0;0;0;0;33;0.750621354
sweing;4;0.75;30.1;7020;45;0;0;1;58;0.750356125
finishing;6;0.8;2.9;960;0;0;0;0;8;0.749166667
sweing;7;0.7;30.1;840;30;0;0;1;59;0.700888203
sweing;11;0.7;11.41;3420;30;0;0;2;56;0.700614035
sweing;3;0.7;30.1;6960;50;0;0;1;58;0.700603448
finishing;4;0.75;5.13;960;0;0;0;0;8;0.656666667
sweing;5;0.8;30.1;7140;0;0;0;0;59;0.653431373
sweing;9;0.65;18.79;5520;0;0;0;1;51;0.650134
sweing;8;0.6;29.4;0;23;5;30;2;58;0.600982906
finishing;9;0.8;3.94;960;0;0;0;0;8;0.586041667
finishing;2;0.8;5.13;1800;0;0;0;0;15;0.5814
sweing;2;0.5;30.33;6720;0;0;0;1;56;0.361071429
sweing;10;0.65;18.22;0;0;8;35;1;49;0.302117347
finishing;12;0.8;5.13;1200;0;0;0;0;10;0.9918
finishing;6;0.8;2.9;1440;0;0;0;0;12;0.936861111
finishing;2;0.8;5.13;1440;0;0;0;0;12;0.919125
sweing;11;0.7;11.41;3360;30;0;0;2;56;0.8211125
sweing;4;0.8;30.1;480;50;0;0;1;58;0.800980392
sweing;5;0.8;30.1;0;0;0;0;0;59;0.800980392
sweing;12;0.8;15.26;4080;63;0;0;0;34;0.800401961
sweing;1;0.8;22.52;3960;63;0;0;0;57;0.800279693
sweing;6;0.75;18.79;3960;34;0;0;0;33;0.75065101
sweing;7;0.75;30.1;2280;45;0;0;1;59;0.75053268
